,,,අවුරුදු උළෙල - 2025,,,,,,,,
,,,,,,,,,,,
Item #,Item,Category,,,Time,Duration (mins),Screen,Music,Responsible,Remarks,
,,Kids,Teens,Adults,,,,,,,
1,People entering,TRUE,TRUE,TRUE,9:30,30,Wallpaper,Awurudu Songs,,,
2,Welcome,TRUE,TRUE,TRUE,10:00,5,Previous year photos,Off,Chameera ayya,,
3,One minute silent,TRUE,TRUE,TRUE,10:05,2,Uncle photo,Off,Amila/ Charith,,
4,Pol thel pahana,TRUE,TRUE,TRUE,10:15,10,Wallpaper,Music,Manoj/ swarna,,
5,Safety guidelines,TRUE,TRUE,TRUE,10:25,5,,,Chinthaka,,
6,Introductions for games,TRUE,TRUE,TRUE,10:30,10,,,Prasanna/ Ranawaka,,
7,Count toffee bottle,TRUE,TRUE,TRUE,10:40,5,,,Manoj,,
8,Guess whats in the box,TRUE,TRUE,TRUE,10:45,5,,,Swarna,,
9,Banis kama ,FALSE,TRUE,TRUE,10:50,20,,,,,
10,Baloon pipiraweema,FALSE,TRUE,TRUE,11:10,15,,,,,
11,Tomato on the spoon ,FALSE,TRUE,TRUE,11:25,15,,,,10,
12,Song by Children,FALSE,FALSE,FALSE,11:40,10,,,,,
13,Lunch and Preparation,TRUE,TRUE,TRUE,11:50,45,,,,11.3,
14,Wikata adum,TRUE,TRUE,FALSE,12:35,30,,,,,
15,Goni race,FALSE,TRUE,TRUE,13:15,15,,,,reduce time,
16,Thun paa,FALSE,FALSE,TRUE,13:30,10,,,,,
17,Eye for the elephant,FALSE,TRUE,TRUE,13:40,20,,,,,May before lunch 
18,Kiri Kaweema,TRUE,TRUE,TRUE,14:10,20,,,,,
19,Kamba adeema ,FALSE,FALSE,TRUE,14:30,20,,,,,
20,Sangeetha thoppiya ,FALSE,TRUE,TRUE,14:50,15,,,,14,
21,Item in the box result,TRUE,TRUE,TRUE,15:05,5,,,,,
22,Count toffee bottle results,TRUE,TRUE,TRUE,15:10,5,,,,,
23,Award Ceremony,TRUE,TRUE,TRUE,15:05,10,Wallpaper,Celebration music,,,
24,Thanks speech,TRUE,TRUE,TRUE,15:15,5,Wallpaper,Off,Mahesh Ediriweera,,
25,National Anthem,TRUE,TRUE,TRUE,15:20,5,National Flag,National Anthem,Viraj/ Madusanka,,
26,End of the event and cleaning,TRUE,TRUE,TRUE,15:25,60,Off,Off,Charith/ Chinthaka,,
,,,,,,,,,,,
,,,,,,,,,,,
,Food table ,,,,,,,,,,
,Paperplates ,,,,,,,,,,
,Cups,,,,,,,,,,
,Plastic foil ,,,,,,,,,,
,spoon ,,,,,,,,,,
,cofee,,,,,,,,,,
,tea,,,,,,,,,,
,saft,,,,,,,,,,
,fruit juice ,,,,,,,,,,
,Electric kettle ,,,,,,,,,,
